city,case_id,category,district,addr,x,y,start_date,end_date,blocks_traffic,unit,source
taipei,104003395-58,construction,中正,南海路南海路牯嶺街口至和平西路(含路口)穿越平房至西藏路惠安街,301516.593,2769209.131,2026-04-22,2026-07-15,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,105006940-23,construction,信義,福德街福德街/松山路口(向南至松山路639號前)至中坡南路/福德街西側(含巷道、林口街、大道路)，及中坡南路口往北60.2公尺/中坡南路201巷口36.2公尺,309050.617,2770535.957,2024-01-24,2026-12-31,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,105006940-40,construction,信義,福德街福德街/松山路口(向南至松山路639號前)至中坡南路/福德街西側(含巷道、林口街、大道路)，及中坡南路口往北60.2公尺/中坡南路201巷口36.2公尺,308380.656,2769927.746,2024-01-24,2026-12-31,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,106000338-51,construction,萬華,萬大萬大路上344巷至493巷間；萬大路至長泰街73巷口；萬大路至萬大路423巷20弄巷口；萬大路至萬大路322巷5弄巷口；萬大路至東園街215號；萬大路至長泰街100號；萬大路387巷11號,300411.249,2768379.977,2024-06-03,2027-02-01,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,106001039-55,construction,中正,南海路南海路:從羅斯福路至重慶南路口；南昌路:從南昌路一段51巷至南海路口；南海路至南昌路一段10巷邊10-2菸酒公司大門；牿嶺街:南海路至牿嶺街5巷口；重慶南路二段19巷:南海路至重慶南路二段19巷6號前。,302094.463,2769472.421,2025-02-01,2026-09-19,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,106001240-1-196,construction,中正,西藏路西藏路段:從汀洲路一段路口至西藏路182旁(莒光路153巷口)。中華路二段315巷段:從西藏路口至中華路二段303巷口。萬大路段:從萬大路與西藏路口至萬大路322巷口。,300891.474,2769185.994,2025-02-20,2026-09-19,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,111002566-56,construction,萬華,西藏路(萬大路至中華路二段),300538.142,2769121.592,2026-05-25,2026-07-12,是,自來水工總,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,112001840-476,construction,中山,新生北路1段36號及松江路交會路口，沿新生北路1段，至新生北路2段(橋旁平面道路)與林森北路383巷交叉口旁中山DS變電所,303721.474,2770965.906,2026-01-01,2026-12-31,否,台電輸變電,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,113000851-6,construction,文山,新光路2段8號至32號、秀明路二段與萬壽路交叉路口,308463.387,2765677.2,2026-01-01,2032-04-10,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,113003842-3,construction,士林,中正路(中正路493號至521號)、通河西街二段10旁,302306.244,2776114.034,2026-01-01,2032-09-07,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
