流水號,編號,區域,里,路街,位置,類型,方向,燈別,瓦數,isOldId,X,Y,燈桿形式,高度
890400,010001,一,後寮里,後興路一段,後寮里後興路一段30號,水泥桿,,鈉光燈,250,FALSE,275170.6875,2759430.25,自備桿,6
890401,010002,一,後寮里,後興路一段,後寮里後興路一段32巷口,水泥桿,,鈉光燈,250,FALSE,275157.25,2759430,自備桿,6
890402,010003,一,後寮里,後興路一段,後寮里後興路一段32巷9號,水泥桿,,鈉光燈,250,FALSE,275136.625,2759459.5,自備桿,6
890403,010004,一,後寮里,後興路一段,後寮里後興路一段32巷19號,水泥桿,,鈉光燈,250,FALSE,275111.25,2759478.5,台電桿,10
890404,010005,一,後寮里,後興路一段,後寮里後興路一段32巷21弄3號,水泥桿,,,250,FALSE,275087.6563,2759466,自備桿,6
890405,010006,一,後寮里,後興路一段,後寮里後興路一段52巷2號,水泥桿,,鈉光燈,250,FALSE,275092.4375,2759419.5,自備桿,6
890406,010007,一,後寮里,後興路一段,後寮里後興路一段52巷38號,水泥桿,,鈉光燈,250,FALSE,275061.6875,2759446.5,自備桿,6
890407,010008,一,後寮里,後興路一段,後寮里後興路一段62號,水泥桿,,鈉光燈,250,FALSE,275063.4688,2759399,自備桿,6
890408,010009,一,後寮里,後興路一段,後寮里後興路一段80號,金屬桿鍍鋅,,鈉光燈,250,FALSE,275030.625,2759390.25,自備桿,8
890409,010010,一,後寮里,後興路一段,後寮里後興路一段112號,金屬桿鍍鋅,,鈉光燈,250,FALSE,274986.125,2759378,自備桿,8
890410,010011,一,後寮里,後興路一段,後寮里後興路一段龍安五街口,金屬桿鍍鋅,,鈉光燈,250,FALSE,274962.2188,2759383.25,自備桿,8
890411,010012,一,後寮里,龍安三街,後寮里龍安三街1號,金屬桿鍍鋅,,鈉光燈,250,FALSE,274946.6875,2759418.5,自備桿,8
890412,010013,一,後寮里,龍安三街,後寮里龍安三街1號後面,金屬桿鍍鋅,,鈉光燈,250,FALSE,274928.1875,2759434.25,自備桿,8
890413,010014,一,後寮里,龍安三街,後寮里龍安三街5號,金屬桿鍍鋅,,鈉光燈,250,FALSE,274973.2813,2759424.25,自備桿,8
890414,010015,一,後寮里,龍安三街,後寮里龍安三街11號,金屬桿鍍鋅,,鈉光燈,250,FALSE,274992.6875,2759440.5,自備桿,8
890416,010016,一,後寮里,後興路一段,後寮里後興路一段128號,水泥桿,,鈉光燈,250,FALSE,274933.5625,2759363.25,電信桿,6
890417,010017,一,後寮里,後興路一段,後寮里後興路一段141號,水泥桿,,鈉光燈,250,FALSE,274883.9688,2759347.25,自備桿,6
890418,010018,一,後寮里,後興路一段,後寮里後興路一段169號,水泥桿,,鈉光燈,250,FALSE,274839.7813,2759334.75,台電桿,10
890419,010019,一,後寮里,後興路一段,後寮里後興路一段177號,水泥桿,,鈉光燈,250,FALSE,274806.3438,2759324.25,台電桿,10
890420,010020,一,後寮里,龍慈路,後寮里龍慈路227號對面,水泥桿,,鈉光燈,250,FALSE,274731.7188,2759303.25,台電桿,6
890421,010021,一,後寮里,後興路一段,後寮里後興路一段266號左邊第二桿,水泥桿,,鈉光燈,250,FALSE,274700.2813,2759293.5,自備桿,6
890422,010022,一,後寮里,後興路一段,後寮里後興路一段266號左邊第一桿,水泥桿,,鈉光燈,250,FALSE,274661.0625,2759282.75,自備桿,6
890423,010023,一,後寮里,後興路一段,後寮里後興路一段270號,水泥桿,,鈉光燈,250,FALSE,274603.9375,2759261,自備桿,6
890424,010024,一,後寮里,後興路一段,後寮里後興路一段282號,水泥桿,,鈉光燈,250,FALSE,274567.3125,2759255,自備桿,6
890425,010025,一,後寮里,後興路一段,後寮里後興路一段292號,水泥桿,,鈉光燈,250,FALSE,274522.875,2759244.75,自備桿,6
890426,010026,一,後寮里,龍興路,後寮里龍興路423號,水泥桿,,鈉光燈,250,FALSE,274460.2813,2759255.75,自備桿,6
890427,010027,一,後寮里,龍興路,後寮里龍興路423號,水泥桿,,鈉光燈,250,FALSE,274405.6563,2759270,自備桿,6
890428,010028,一,後寮里,後興路二段,後寮里後興路二段福隆祠,水泥桿,,鈉光燈,250,FALSE,274349.4375,2759277,自備桿,6
890429,010029,一,後寮里,後興路二段,後寮里後興路二段湖畔休閒魚池,水泥桿,,鈉光燈,250,FALSE,274320.6563,2759286.5,台電桿,10
890430,010030,一,後寮里,後興路二段,後寮里後興路二段湖畔休閒魚池練歌場,水泥桿,,鈉光燈,250,FALSE,274298.1875,2759294,自備桿,6
890431,010031,一,後寮里,後興路二段,後寮里後興路二段後寮緯虹精密,水泥桿,,鈉光燈,250,FALSE,274270.0938,2759313.75,台電桿,10
890432,010032,一,後寮里,後興路二段,後寮里後興路二段後寮77號,水泥桿,,鈉光燈,250,FALSE,274213.0938,2759326.25,自備桿,6
