station_id,station_name,obs_time,temp,rh,pressure,wind,wind_dir,rain,risk
C0TB40,崇德,2026-06-15T18:00:00+08:00,25.3,87.0,1005.4,0.7,291.0,1.0,0
C0SD20,富山,2026-06-15T18:00:00+08:00,27.3,83.0,1004.6,1.1,279.0,4.0,0
C0SD30,東清國小,2026-06-15T18:00:00+08:00,29.1,83.0,1006.3,3.8,283.0,0.0,0
C0SD40,牛頭山,2026-06-15T18:00:00+08:00,28.3,84.0,998.6,10.2,197.0,0.0,0
C0AK30,硬漢嶺,2026-06-15T18:00:00+08:00,23.0,85.0,939.5,2.4,239.0,0.0,0
C0TA40,秀林,2026-06-15T18:00:00+08:00,20.9,89.0,906.6,1.1,263.0,2.0,0
C0TA50,和仁,2026-06-15T18:00:00+08:00,25.4,91.0,1004.8,2.2,18.0,1.5,0
C0TA80,立霧山,2026-06-15T18:00:00+08:00,19.7,95.0,888.3,0.7,149.0,2.0,0
C0FA60,鞍馬山工作站,2026-06-15T18:00:00+08:00,13.4,99.0,781.7,2.0,351.0,113.0,50
C0FA70,大雪山埡口,2026-06-15T18:00:00+08:00,,,,,,111.5,50
C0FA80,小雪山天池,2026-06-15T18:00:00+08:00,11.5,95.0,746.7,1.7,340.0,125.0,50
C0FA90,小雪山林道,2026-06-15T18:00:00+08:00,9.4,96.0,717.2,7.0,186.0,63.5,50
C0FB00,大雪山,2026-06-15T18:00:00+08:00,13.8,99.0,779.2,1.4,187.0,113.5,50
C0FB10,出雲山苗圃,2026-06-15T18:00:00+08:00,19.9,92.0,901.0,2.5,172.0,33.0,0
C0FB20,雪山橋,2026-06-15T18:00:00+08:00,15.7,99.0,803.6,1.3,88.0,,0
C0FB30,八仙山苗圃,2026-06-15T18:00:00+08:00,19.6,95.0,905.0,0.3,139.0,43.5,50
C0FB40,中橫21.6k,2026-06-15T18:00:00+08:00,17.9,94.0,863.0,1.9,265.0,48.5,50
C0E940,雪見,2026-06-15T18:00:00+08:00,15.9,94.0,,6.1,213.0,37.5,0
C0E950,松安,2026-06-15T18:00:00+08:00,18.4,94.0,865.0,1.1,116.0,27.0,0
C0E960,觀霧分站,2026-06-15T18:00:00+08:00,14.6,94.0,790.9,3.3,135.0,23.0,0
C0D750,樂山林道6k,2026-06-15T18:00:00+08:00,13.1,99.0,763.4,7.9,39.0,22.0,0
C0D760,大坪苗圃,2026-06-15T18:00:00+08:00,17.9,95.0,858.0,1.3,140.0,9.5,0
C0C790,東眼山,2026-06-15T18:00:00+08:00,20.1,94.0,911.0,0.3,76.0,1.5,0
C0C800,四稜,2026-06-15T18:00:00+08:00,19.8,92.0,880.3,0.5,95.0,2.0,0
C0UB60,明池,2026-06-15T18:00:00+08:00,,,,,,2.0,0
C0UB70,太平山中間站,2026-06-15T18:00:00+08:00,21.4,90.0,910.1,0.3,191.0,2.5,0
C0UB80,翠峰林道6K,2026-06-15T18:00:00+08:00,15.6,94.0,799.6,0.9,329.0,3.0,0
C0UB90,太平山莊,2026-06-15T18:00:00+08:00,17.1,93.0,806.0,1.5,352.0,2.5,0
C0V910,大樹,2026-06-15T18:00:00+08:00,24.5,97.0,1004.5,3.0,338.0,89.0,50
C0AK10,太平里,2026-06-15T18:00:00+08:00,27.4,72.0,1003.9,1.6,218.0,0.0,0
C0SB10,美和,2026-06-15T18:00:00+08:00,27.5,84.0,1003.9,1.9,341.0,7.0,0
C0SB20,富岡,2026-06-15T18:00:00+08:00,27.7,81.0,1002.5,2.2,259.0,3.5,0
C0SB30,新蘭,2026-06-15T18:00:00+08:00,27.8,78.0,999.8,1.9,226.0,3.5,0
C0SB40,興隆,2026-06-15T18:00:00+08:00,27.7,79.0,998.8,1.4,212.0,3.0,0
C0SB50,叭嗡嗡,2026-06-15T18:00:00+08:00,27.3,85.0,1003.6,1.4,12.0,2.5,0
C0SB60,白守蓮,2026-06-15T18:00:00+08:00,26.7,89.0,1004.3,1.1,17.0,2.5,0
C0SB70,小港漁港,2026-06-15T18:00:00+08:00,26.3,92.0,1004.2,1.7,354.0,3.0,0
